Diet_type,Recipe_name,Cuisine_type,Protein(g),Carbs(g),Fat(g),Extraction_day,Extraction_time,Protein_to_Carbs_ratio,Carbs_to_Fat_ratio
paleo,Paleo Mushroom Soup recipes,french,60.19,112.58,52.61,2022-10-16,17:20:43,0.5346420323325635,2.139897357916746
paleo,Paleo Birthday Cake recipes,american,68.21,199.96,161.13,2022-10-16,17:20:43,0.3411182236447289,1.2409855396263887
paleo,Paleo Avocado Tuna Salad,mexican,32.45,24.27,31.05,2022-10-16,17:20:43,1.3370416151627524,0.7816425120772946
paleo,Paleo Honey Cake recipes,eastern europe,90.83,258.46,261.91,2022-10-16,17:20:43,0.3514276870695659,0.9868275361765491
paleo,Paleo Pumpkin Bars recipes,american,49.0,412.09,116.03,2022-10-16,17:20:43,0.11890606420927469,3.551581487546324
paleo,Perfect Paleo Baked Salmon,nordic,161.95,1.17,160.83,2022-10-16,17:20:43,138.4188034188034,0.0072747621712367086
paleo,Chocolate Mousse (Paleo! Keto!),french,20.23,126.01,153.36,2022-10-16,17:20:43,0.160542814062376,0.8216614501825769
paleo,Crab + Avocado Temaki recipes,caribbean,88.79,32.66,55.58,2022-10-16,17:20:50,2.718616044090631,0.587621446563512
paleo,Red Cabbage Slaw with Tangy Carrot Ginger Dressing recipes,american,9.65,42.63,83.92,2022-10-16,17:20:50,0.22636640863241847,0.5079837940896091
paleo,Paleo Prosciutto Egg Cups,italian,80.95,6.34,113.98,2022-10-16,17:20:50,12.76813880126183,0.05562379364800842
paleo,Paleo Chicken Adobo recipes,mediterranean,123.17,61.52,107.7,2022-10-16,17:20:50,2.002113133940182,0.5712163416898793
paleo,Cranberry Apple Stuffing,american,47.89,285.93,93.75,2022-10-16,17:20:50,0.1674885461476585,3.04992
paleo,Paleo Dirty Rice recipes,caribbean,26.68,80.75,35.37,2022-10-16,17:20:50,0.33040247678018575,2.2830081990387336
paleo,Slow-Cooker Paleo Meatballs,eastern europe,145.6,102.25,144.33,2022-10-16,17:20:50,1.423960880195599,0.7084459225386267
paleo,Delicata Squash Stuffed with Spiced Meat and Tomatoes (serves 2) and a side of Sauteed Chard recipes,italian,100.74,92.07,360.57,2022-10-16,17:20:50,1.0941674812642554,0.2553457026374906
paleo,Paleo Pork Chili Verde,american,107.7,68.02,28.69,2022-10-16,17:20:50,1.5833578359306089,2.3708609271523176
paleo,Paleo Steak and Egg Salad,american,65.19,17.09,69.97,2022-10-16,17:20:50,3.8145114101813924,0.24424753465771046
paleo,Easy Paleo Beef with Broccoli,mediterranean,102.5,38.41,98.85,2022-10-16,17:20:50,2.6685758916948714,0.3885685381891755
paleo,Paleo Party Pork Carnitas,mexican,268.92,128.88,334.28,2022-10-16,17:20:50,2.08659217877095,0.3855450520521719
paleo,Paleo Pecan Tart Crust recipes,american,21.03,25.01,112.66,2022-10-16,17:20:50,0.8408636545381847,0.2219953843422688
paleo,Paleo Shepherd's Pie recipes,american,189.35,143.25,300.66,2022-10-16,17:20:50,1.3218150087260034,0.47645180602674114
paleo,Paleo Vanilla Birthday Cake recipes,french,71.11,159.31,147.25,2022-10-16,17:20:56,0.4463624380139351,1.0819015280135824
paleo,Egg-Free Paleo Macaroons recipes,french,10.16,105.7,110.51,2022-10-16,17:20:56,0.09612109744560075,0.9564745271921093
paleo,Paleo Raw Chocolate Bites recipes,american,46.07,261.6,147.5,2022-10-16,17:20:56,0.17610856269113148,1.7735593220338985
paleo,Perfect Paleo Pie Crust recipes,american,43.97,104.37,160.83,2022-10-16,17:20:56,0.42128964261761037,0.6489460921469875
paleo,Practical Paleo: Mint Chip Truffles,american,3.76,23.94,80.65,2022-10-16,17:20:56,0.1570593149540518,0.2968381897086175
paleo,Cindy's Paleo Harvest Chili,american,210.45,139.56,272.52,2022-10-16,17:20:56,1.5079535683576955,0.5121092029942756
paleo,Instant Pot Paleo Pork Tenderloin,french,362.76,16.83,64.04,2022-10-16,17:20:56,21.554367201426025,0.26280449718925664
paleo,Paleo Pecan-Crusted Chicken | everydaypaleo.com,american,258.66,55.59,103.91,2022-10-16,17:20:56,4.652995143011333,0.5349821961312675
paleo,Entertain Meatloaf Style,american,197.94,70.1,110.07,2022-10-16,17:20:56,2.823680456490728,0.6368674479876442
paleo,Semi-Homemade Paleo Spaghetti And Meatballs,italian,128.54,366.81,166.72,2022-10-16,17:20:56,0.3504266513999073,2.2001559500959695
paleo,Easy Paleo Herb Gravy recipes,french,23.56,39.05,42.25,2022-10-16,17:21:04,0.6033290653008963,0.9242603550295857
paleo,Homemade Mayo (Paleo and Whole30 Friendly!),italian,2.81,1.11,112.61,2022-10-16,17:21:04,2.5315315315315314,0.009857028683065448
paleo,Paleo and Vegan Pesto stuffed mushrooms,american,10.73,15.5,49.29,2022-10-16,17:21:04,0.692258064516129,0.31446540880503143
paleo,Paleo Un-Stuffed Cabbage Soup,italian,141.27,55.82,198.73,2022-10-16,17:21:04,2.530813328556073,0.28088361092940173
paleo,Sweet Potato Chili (Paleo-Friendly!),american,98.56,191.3,176.93,2022-10-16,17:21:04,0.5152117093570309,1.08121856101283
paleo,Paleo Dirty Cauliflower ‘Rice’ Recipe,mediterranean,26.68,80.75,35.37,2022-10-16,17:21:04,0.33040247678018575,2.2830081990387336
paleo,Spicy Paleo Pumpkin Muffins recipes,british,121.84,413.93,317.39,2022-10-16,17:21:04,0.2943492861111782,1.304168373294685
paleo,Paleo Cauliflower Bacon Fried Rice Recipe,chinese,28.76,50.01,48.09,2022-10-16,17:21:04,0.5750849830033994,1.0399251403618215
paleo,Paleo Beef and Sweet Potato Stew,american,200.82,153.82,102.62,2022-10-16,17:21:04,1.3055519438304513,1.4989280841941142
paleo,Paleo Comfort Foods’ Poached Pears recipes,french,9.82,214.27,3.04,2022-10-16,17:21:04,0.04583002753535259,70.48355263157895
paleo,Madras Chicken Salad recipes,mediterranean,150.18,41.36,123.75,2022-10-16,17:21:04,3.6310444874274665,0.3342222222222222
paleo,Slow Cooker Cheater Pork Stew recipes,french,244.29,69.44,249.9,2022-10-16,17:21:04,3.5180011520737327,0.27787114845938377
paleo,Strawberry Rhubarb Crisp - and it's paleo. recipes,american,32.24,250.87,139.25,2022-10-16,17:21:04,0.12851277554111692,1.8015798922800719
paleo,Paleo Pasta Salad with Avocado Oil Vinaigrette,french,31.23,74.97,116.67,2022-10-16,17:21:04,0.4165666266506603,0.6425816405245565
paleo,The Paleo Diet’s Salmon Caesar Salad Recipe,nordic,155.95,49.31,150.25,2022-10-16,17:21:04,3.1626444940174405,0.32818635607321134
paleo,"Eggplant ""Ricotta"" Stacks From 'Nom Nom Paleo'",italian,32.32,157.39,194.11,2022-10-16,17:21:11,0.20534976809200078,0.8108289114419658
paleo,Southwest Cowboy Chili From 'Nom Nom Paleo',american,430.2,138.37,178.17,2022-10-16,17:21:11,3.109055431090554,0.7766178368973453
paleo,Swiss Paleo’s Homemade Italian & Chorizo Sausage,italian,1273.61,83.34,1608.54,2022-10-16,17:21:11,15.282097432205422,0.05181095900630386
paleo,Paleo Doritos Toast Will Scratch Your Snack Itch,american,32.75,22.67,2.45,2022-10-16,17:21:11,1.4446404940449933,9.253061224489796
paleo,"Paleo Pumpkin, Coconut, & Maple Custard Cups recipes",american,36.0,142.79,107.74,2022-10-16,17:21:11,0.25211849569297573,1.3253202153332095
paleo,Paleo Spaghetti Squash and Amped Up Meatballs,italian,128.33,154.22,125.77,2022-10-16,17:21:11,0.8321229412527559,1.2262065675439293
paleo,Swiss Paleo’s Bugs Bunny Hasenpfeffer Stew recipes,nordic,65.78,96.23,130.86,2022-10-16,17:21:11,0.6835706120752364,0.7353660400427938
paleo,The Paleo Kitchen’s Honey Mustard Chicken Thighs recipes,french,152.56,53.59,205.36,2022-10-16,17:21:11,2.8467997760776265,0.26095636930268795
paleo,Stupid Easy Paleo’s Kickin’ BBQ Shredded Chicken recipes,american,283.7,78.55,252.1,2022-10-16,17:21:11,3.6117122851686823,0.31158270527568427
paleo,Paleo-Friendly Roasted Butternut Squash with Crispy Sage Leaves,nordic,6.45,66.8,42.58,2022-10-16,17:21:11,0.09655688622754492,1.5688116486613433
paleo,Orange Sriracha Chicken recipes,south east asian,104.17,82.97,64.82,2022-10-16,17:21:11,1.255514041219718,1.2800061709348967
paleo,Overnight Cherry Chia Seed Pudding – Paleo/Gluten Free/Vegan,american,12.77,112.92,56.84,2022-10-16,17:21:11,0.1130889125044279,1.9866291344123856
paleo,Paleo Pumpkin Gingerbread Cake with Maple-Vanilla Frosting recipes,american,73.83,185.59,307.46,2022-10-16,17:21:11,0.397812382132658,0.6036232355428349
paleo,"Sweet Potato & Pork Thanksgiving Stuffing (Paleo, Gluten-Free) recipes",american,197.91,312.15,371.5,2022-10-16,17:21:11,0.6340221047573282,0.8402422611036339
paleo,Paleo Comfort Food? Here’s A Creamy Shrimp Fra Diavolo recipes,italian,102.47,51.64,54.82,2022-10-16,17:21:11,1.98431448489543,0.9419919737322145
paleo,"Instant Pot Buffalo Sweet Potato Soup {Vegan, Whole30, Paleo, Gluten-Free}",american,14.26,79.07,109.53,2022-10-16,17:21:11,0.18034652839256357,0.7219026750661919
paleo,Dill Butternut Squash Fries,american,7.68,89.2,14.38,2022-10-16,17:21:11,0.08609865470852017,6.203059805285118
paleo,Crispy Sweet Potato Fries,south american,4.4,56.19,28.84,2022-10-16,17:21:18,0.07830574835379962,1.9483356449375866
paleo,Rosemary and Garlic Parsnip Mash,american,3.34,48.53,13.6,2022-10-16,17:21:18,0.06882340820111271,3.5683823529411764
paleo,Four Layer Beef and Bacon Casserole,american,213.63,149.66,298.56,2022-10-16,17:21:18,1.4274355205131632,0.5012727759914255
paleo,Boston Baked Beef,american,135.99,193.85,232.95,2022-10-16,17:21:18,0.7015217952024763,0.8321528224940975
paleo,Nutella Brownie Truffles,french,12.21,151.95,98.75,2022-10-16,17:21:18,0.08035538005923003,1.5387341772151897
paleo,Best Ever Bars,american,62.76,194.9,266.67,2022-10-16,17:21:18,0.3220112878399179,0.7308658641766977
paleo,Salmon Cakes,nordic,86.31,11.17,66.45,2022-10-16,17:21:18,7.7269471799462845,0.16809631301730624
paleo,Crockpot Italian Chicken and Peppers,italian,86.07,84.94,43.04,2022-10-16,17:21:18,1.0133035083588415,1.9735130111524164
paleo,Herbed Rack of Lamb,middle eastern,35.36,6.76,133.82,2022-10-16,17:21:18,5.230769230769231,0.05051561799432073
paleo,Moroccan Braised Chicken and Kale,middle eastern,283.65,89.99,306.29,2022-10-16,17:21:18,3.1520168907656405,0.293806523229619
paleo,Roasted Tomato Soup,italian,39.32,88.7,50.97,2022-10-16,17:21:18,0.44329199549041715,1.7402393564842065
paleo,Sweet Plantain Guacamole,south american,19.18,134.0,138.71,2022-10-16,17:21:18,0.14313432835820894,0.9660442650133372
paleo,Turkey Spaghetti Zoodles,american,122.69,96.81,51.15,2022-10-16,17:21:18,1.2673277553971696,1.89266862170088
paleo,Celery Leaf & Fennel Poached Salmon,nordic,32.41,17.25,24.49,2022-10-16,17:21:18,1.8788405797101446,0.7043691302572479
paleo,Turkey Veggie Meatballs With Spaghetti Squash,american,122.78,147.94,51.84,2022-10-16,17:21:24,0.8299310531296472,2.853780864197531
paleo,Asian Sesame Chicken & Broccoli,chinese,107.67,31.95,70.25,2022-10-16,17:21:24,3.3699530516431926,0.45480427046263344
paleo,Cauliflower Fried Rice,chinese,46.62,82.76,53.47,2022-10-16,17:21:24,0.5633156114064765,1.5477838040022445
paleo,Khoresht Lubia Sabz (Persian Green Bean Stew),american,121.29,69.51,49.55,2022-10-16,17:21:24,1.7449287872248598,1.402825428859738
paleo,Cinnamon Chocolate Swirl Banana Bread,american,68.73,266.84,183.04,2022-10-16,17:21:24,0.2575700794483586,1.4578234265734265
paleo,Easy Pan Gravy,british,0.32,6.54,11.65,2022-10-16,17:21:24,0.04892966360856269,0.5613733905579399
paleo,Salsa Fresca estilo Siete,mexican,4.94,33.55,1.11,2022-10-16,17:21:24,0.14724292101341285,30.22522522522522
paleo,Ginger Snap Pumpkin Butter Cookie Sandwiches,american,97.78,239.78,356.65,2022-10-16,17:21:24,0.40779047460171824,0.6723117902705734
paleo,Cauliflower Soup Drizzled with White Truffle Oil,french,41.9,64.07,37.95,2022-10-16,17:21:24,0.6539722178866865,1.6882740447957836
paleo,Apple Pumpkin Soup,american,9.95,64.53,19.56,2022-10-16,17:21:24,0.1541918487525182,3.299079754601227
paleo,Easy Vegan Pad Thai Supreme,american,97.94,217.78,168.32,2022-10-16,17:21:24,0.4497199008173386,1.2938450570342206
paleo,Beef Chorizo con Huevo estilo Siete,mediterranean,133.92,12.88,92.88,2022-10-16,17:21:24,10.39751552795031,0.13867355727820846
paleo,Angel Food Cake,american,55.09,283.94,5.02,2022-10-16,17:21:24,0.19401986335141228,56.561752988047814
paleo,Asian Chicken Salad,asian,69.61,44.66,128.44,2022-10-16,17:21:24,1.558665472458576,0.3477109934599813
paleo,Roasted Beef Tenderloin,american,349.89,10.57,130.34,2022-10-16,17:21:24,33.102175969725636,0.08109559613319012
paleo,"Kale, Artichoke and Pecorino Salad",mediterranean,36.98,40.42,58.68,2022-10-16,17:21:24,0.9148936170212765,0.6888207225630539
paleo,Spicy Thai Peanut Kelp Noodle Pad Thai,south east asian,92.67,357.52,68.86,2022-10-16,17:21:24,0.25920228238979637,5.191983735114725
paleo,Almond Meal Encrusted Chicken Nuggets - REAL FOOD Healing Recipe from Mee Tracy McCormick,american,191.06,25.06,137.85,2022-10-16,17:21:24,7.624102154828412,0.18179180268407688
paleo,Artichoke Francaise,mediterranean,35.81,127.03,62.87,2022-10-16,17:21:31,0.2819019129339526,2.0205185303006203
paleo,Braised Short Rib Bolognese,italian,242.69,59.62,607.18,2022-10-16,17:21:31,4.0706138879570615,0.09819164004084456
paleo,Maialino's Olive Oil Cake (Adapted by Becca Fox),american,72.45,479.49,468.3,2022-10-16,17:21:31,0.1510980416692736,1.023894939141576
paleo,Homemade Ravioli with Ricotta Cheese and Spinach Filling,italian,118.65,300.0,107.45,2022-10-16,17:21:31,0.3955,2.791996277338297
paleo,Boneless Short Ribs on the BGE,french,392.64,12.51,472.92,2022-10-16,17:21:31,31.38609112709832,0.026452676985536664
paleo,Ribollita,italian,66.67,180.22,111.67,2022-10-16,17:21:31,0.36993674397958054,1.613862272767977
paleo,Pear and Apple Coffeecake with Walnut Topping,british,68.86,309.13,384.74,2022-10-16,17:21:31,0.2227541810888623,0.8034776732338722
paleo,Artichoke and Perfect Asparagus Salad with Lemony Herbed Vinaigrette,mediterranean,22.61,68.6,103.89,2022-10-16,17:21:31,0.3295918367346939,0.6603137934353642
paleo,Indian Spiced Broccoli and Potato Hash,nordic,9.39,47.36,10.47,2022-10-16,17:21:31,0.19826858108108109,4.523400191021967
paleo,Vegan Dark Chocolate Coconut Tart,american,32.24,221.1,103.54,2022-10-16,17:21:31,0.14581637268204434,2.1354066061425536
paleo,Pork and Charred Brussels Sprouts with Chile Lime Sauce,south american,145.56,240.17,89.14,2022-10-16,17:21:31,0.6060706999208895,2.6943010993942114
paleo,Apple Fennel Casserole with a Coconut-Turmeric Twist,italian,5.6,46.5,18.34,2022-10-16,17:21:31,0.12043010752688171,2.5354416575790624
paleo,Slow-Cooker 'Osso Buco' Stew,italian,211.11,94.79,61.46,2022-10-16,17:21:31,2.227133663888596,1.5423039375203385
paleo,Vegan Coconut Cream Tart with White Peaches and Blueberries,american,39.45,285.88,109.49,2022-10-16,17:21:31,0.13799496292150554,2.6110147045392273
paleo,Spiced Harvest Cake,british,65.92,455.58,158.29,2022-10-16,17:21:31,0.14469467491988236,2.8781350685450757
paleo,Paleo MeeNut™ Butter Sandwich on Paleo Bread™,american,0.93,3.08,24.31,2022-10-16,17:21:38,0.30194805194805197,0.12669683257918554
paleo,Low Carb Paleo Egg Wrap Recipe,american,16.71,28.5,15.85,2022-10-16,17:21:38,0.5863157894736842,1.7981072555205049
paleo,Paleo Nutella Banana Ice Cream,american,7.86,186.18,30.1,2022-10-16,17:21:38,0.04221720915243313,6.185382059800665
paleo,Paleo Whole30 Pesto Chicken Salad,american,176.97,10.7,206.48,2022-10-16,17:21:38,16.539252336448598,0.05182099961255327
paleo,The Elvis Paleo Sandwich Recipe,american,18.72,68.14,54.08,2022-10-16,17:21:38,0.27472850014675665,1.2599852071005917
paleo,Simple Paleo Reese’s Cups,american,69.56,157.94,257.36,2022-10-16,17:21:38,0.44042041281499306,0.613692881566677
paleo,Paleo Meatloaf recipes,american,216.95,203.73,178.18,2022-10-16,17:21:38,1.0648898051342464,1.1433943203502075
paleo,Paleo Nacho Casserole,mexican,156.83,88.03,167.6,2022-10-16,17:21:38,1.7815517437237307,0.5252386634844869
paleo,Simple Paleo Coleslaw Dressing,mediterranean,6.76,17.01,89.82,2022-10-16,17:21:38,0.39741328630217515,0.18937875751503008
paleo,Paleo Bread Stuffing recipes,american,54.96,208.13,49.2,2022-10-16,17:21:44,0.2640657281506751,4.230284552845528
paleo,Paleo deviled egg recipe,french,32.74,3.08,69.22,2022-10-16,17:21:44,10.629870129870131,0.044495810459404796
paleo,Paleo Peppermint Bark,american,30.23,191.35,235.63,2022-10-16,17:21:44,0.15798275411549517,0.8120782582862963
paleo,Paleo Chipotle Dipping Sauce,mexican,2.14,15.79,116.27,2022-10-16,17:21:44,0.13552881570614314,0.13580459275823514
paleo,Paleo Wrap Carne Asada Recipe,mexican,159.24,75.82,62.53,2022-10-16,17:21:44,2.100237404378792,1.212537981768751
paleo,Homemade Paleo Protein Bars,american,368.04,500.49,210.84,2022-10-16,17:21:44,0.7353593478391177,2.3737905520774047
paleo,Paleo Tzatziki,mediterranean,2.82,17.07,13.93,2022-10-16,17:21:44,0.16520210896309315,1.2254127781765973
paleo,Paleo Pecan Pie Bars recipes,american,105.25,594.23,700.42,2022-10-16,17:21:44,0.1771199703818387,0.8483909654207477
paleo,Loaded Paleo Cauliflower Nachos recipes,mexican,52.93,75.7,131.7,2022-10-16,17:21:44,0.6992073976221929,0.574791192103265
paleo,Gluten-Free Paleo Meatloaf recipes,eastern europe,170.21,136.35,196.93,2022-10-16,17:21:44,1.2483314998166484,0.6923780023358553
paleo,Paleo Broccoli Salad recipes,american,22.75,124.99,146.91,2022-10-16,17:21:44,0.1820145611648932,0.8507930025185487
paleo,Healthy Paleo Marble Cake recipes,american,42.18,245.32,90.32,2022-10-16,17:21:44,0.1719386923202348,2.7161204605845883
paleo,Paleo Deviled Eggs recipes,french,87.75,10.06,163.03,2022-10-16,17:21:51,8.722664015904572,0.061706434398576954
paleo,Paleo Meatball Sub,american,57.04,62.66,77.65,2022-10-16,17:21:51,0.9103096074050431,0.8069542820347713
paleo,Paleo Egg Salad recipes,american,35.77,30.22,88.57,2022-10-16,17:21:51,1.183653209794838,0.34119905159760644
paleo,"Caramel Caffe Latte (paleo, GF, dairy-free) recipes",american,3.28,32.7,15.37,2022-10-16,17:21:51,0.1003058103975535,2.1275211450878335
paleo,Smoky Paleo Deviled Eggs recipes,french,34.1,8.47,69.53,2022-10-16,17:21:51,4.025974025974026,0.1218179203221631
paleo,Paleo Barbecue Beef and Bacon recipes,american,114.04,148.84,128.75,2022-10-16,17:21:51,0.7661918839021769,1.1560388349514563
paleo,Paleo Pad Thai with Zucchini Noodles,south east asian,3.5,40.81,0.36,2022-10-16,17:21:51,0.08576329331046312,113.36111111111113
paleo,Paleo Sunbutter Cups recipes,french,0.1,32.29,27.63,2022-10-16,17:21:51,0.0030969340353050484,1.1686572566051394
paleo,Paleo Quiche Cups,french,59.38,43.71,82.41,2022-10-16,17:21:51,1.358499199267902,0.5303967965052785
paleo,Paleo Pecan Pie,american,41.28,497.12,285.89,2022-10-16,17:21:51,0.08303830061152237,1.7388506068767708
paleo,Paleo Smoked Tuna Salad recipes,american,24.83,19.77,90.32,2022-10-16,17:21:51,1.2559433485078402,0.21888839681133748
paleo,Paleo Lemon Mousse,french,17.82,77.84,84.12,2022-10-16,17:21:58,0.2289311408016444,0.9253447456015216
paleo,Paleo Aioli Salad Dressing,mediterranean,0.53,2.32,44.57,2022-10-16,17:21:58,0.228448275862069,0.052052950415077404
paleo,Paleo Flourless Chocolate Cake recipes,american,80.48,404.46,410.21,2022-10-16,17:21:58,0.19898135785986254,0.98598278930304
